,modelname,t,mp,ni,lr,ps,acc
0,mt_swin224large,32,5,10000,0.1,1,-1
1,mt_swin224large,32,5,10000,0.1,8,"0.6373362663733626
"
2,mt_swin224large,32,20,10000,0.1,16,"0.00029997000299974985
"
3,mt_swin224large,32,10,10000,0.1,16,"0.030396960303969656
"
4,mt_swin224large,32,5,10000,0.1,4,"0.7833216678332167
"
5,mt_swin224large,32,1,10000,0.1,16,"0.7343265673432657
"
6,mt_swin224large,32,2,10000,0.1,16,"0.6152384761523848
"
7,mt_swin224large,32,5,10000,0.1,16,"0.2706729327067293
"
8,mt_conv2_huge,32,2,10000,0.1,16,"0.6066393360663933
"
9,mt_conv2_huge,32,10,10000,0.1,16,-1
10,mt_conv2_huge,32,5,10000,0.1,16,-1
11,mt_conv2_huge,32,20,10000,0.1,16,-1
12,mt_conv2_huge,32,1,10000,0.1,16,"0.7327267273272673
"
13,mt_conv2_huge,32,5,10000,0.1,4,-1
14,mt_conv2_huge,32,5,10000,0.1,1,-1
15,mt_conv2_huge,32,5,10000,0.1,8,-1
16,mt_resnet101d,32,5,10000,0.1,4,"0.6284371562843716
"
17,mt_resnet101d,32,5,10000,0.1,8,"0.4276572342765723
"
18,mt_resnet101d,32,2,10000,0.1,16,"0.3961603839616038
"
19,mt_resnet101d,32,20,10000,0.1,16,"0.0036996300369962487
"
20,mt_resnet101d,32,1,10000,0.1,16,"0.5453454654534546
"
21,mt_resnet101d,32,5,10000,0.1,16,"0.1483851614838516
"
22,mt_resnet101d,32,5,10000,0.1,1,-1
23,mt_resnet101d,32,10,10000,0.1,16,"0.03169683031696835
"
24,mt_swin224base,32,5,10000,0.1,8,"0.6507349265073492
"
25,mt_swin224base,32,5,10000,0.1,4,"0.7785221477852214
"
26,mt_swin224base,32,5,10000,0.1,16,"0.3447655234476552
"
27,mt_swin224base,32,10,10000,0.1,16,"0.07809219078092189
"
28,mt_swin224base,32,5,10000,0.1,1,-1
29,mt_swin224base,32,1,10000,0.1,16,"0.7311268873112688
"
30,mt_swin224base,32,2,10000,0.1,16,"0.6233376662333767
"
31,mt_swin224base,32,20,10000,0.1,16,"0.0005999400059993887
"
32,mt_wide-resnet,32,20,10000,0.1,16,"0.00019998000199983323
"
33,mt_wide-resnet,32,5,10000,0.1,8,"0.16088391160883908
"
34,mt_wide-resnet,32,10,10000,0.1,16,"0.0018998100189980827
"
35,mt_wide-resnet,32,5,10000,0.1,16,"0.024797520247975213
"
36,mt_wide-resnet,32,1,10000,0.1,16,"0.3458654134586542
"
37,mt_wide-resnet,32,2,10000,0.1,16,"0.17048295170482952
"
38,mt_wide-resnet,32,5,10000,0.1,1,-1
39,mt_wide-resnet,32,5,10000,0.1,4,"0.35976402359764026
"
40,mt_vit224,32,5,10000,0.1,16,"0.045095490450954956
"
41,mt_vit224,32,2,10000,0.1,16,"0.38036196380361964
"
42,mt_vit224,32,1,10000,0.1,16,-1
43,mt_vit224,32,5,10000,0.1,4,"0.6497350264973503
"
44,mt_vit224,32,20,10000,0.1,16,"9.999000099991662e-05
"
45,mt_vit224,32,5,10000,0.1,1,"0.8217178282171783
"
46,mt_vit224,32,5,10000,0.1,8,"0.452054794520548
"
47,mt_vit224,32,10,10000,0.1,16,"0.00019998000199983323
"
48,mt_deit224_distill,32,1,10000,0.1,16,"0.4402559744025597
"
49,mt_deit224_distill,32,5,10000,0.1,1,"0.7964203579642035
"
50,mt_deit224_distill,32,2,10000,0.1,16,"0.19538046195380465
"
51,mt_deit224_distill,32,10,10000,0.1,16,"9.999000099991662e-05
"
52,mt_deit224_distill,32,5,10000,0.1,4,"0.650934906509349
"
53,mt_deit224_distill,32,5,10000,0.1,8,"0.34366563343665635
"
54,mt_deit224_distill,32,20,10000,0.1,16,"9.999000099991662e-05
"
55,mt_deit224_distill,32,5,10000,0.1,16,"0.0029997000299970544
"
56,mt_resnet50,32,5,10000,0.1,8,"0.21547845215478456
"
57,mt_resnet50,32,10,10000,0.1,16,"0.0036996300369962487
"
58,mt_resnet50,32,5,10000,0.1,16,"0.036396360363963653
"
59,mt_resnet50,32,5,10000,0.1,1,"0.742025797420258
"
60,mt_resnet50,32,1,10000,0.1,16,"0.3832616738326168
"
61,mt_resnet50,32,2,10000,0.1,16,"0.2077792220777922
"
62,mt_resnet50,32,20,10000,0.1,16,"0.00039996000399955545
"
63,mt_resnet50,32,5,10000,0.1,4,"0.4622537746225377
"
64,mt_deit3_small_224,32,1,250,0.1,16,"0.2071713147410359
"
65,mt_swin224,32,5,10000,0.1,4,"0.7402259774022597
"
66,mt_swin224,32,2,10000,0.1,16,"0.5836416358364164
"
67,mt_swin224,32,10,10000,0.1,16,"0.054194580541945814
"
68,mt_swin224,32,5,10000,0.1,8,"0.6164383561643836
"
69,mt_swin224,32,20,10000,0.1,16,"0.0004999500049994721
"
70,mt_swin224,32,1,10000,0.1,16,"0.6911308869113089
"
71,mt_swin224,32,5,10000,0.1,1,-1
72,mt_swin224,32,1,100,0.1,16,"0.7227722772277227
"
73,mt_swin224,32,5,10000,0.1,16,"0.3072692730726927
"
