,modelname,t,mp,ni,lr,ps,acc
2,mt_swin224large,32,20,10000,0.1,16,"0.00029997000299974985
"
3,mt_swin224large,32,10,10000,0.1,16,"0.030396960303969656
"
5,mt_swin224large,32,1,10000,0.1,16,"0.7343265673432657
"
6,mt_swin224large,32,2,10000,0.1,16,"0.6152384761523848
"
7,mt_swin224large,32,5,10000,0.1,16,"0.2706729327067293
"
8,mt_conv2_huge,32,2,10000,0.1,16,"0.6066393360663933
"
9,mt_conv2_huge,32,10,10000,0.1,16,-1
10,mt_conv2_huge,32,5,10000,0.1,16,-1
11,mt_conv2_huge,32,20,10000,0.1,16,-1
12,mt_conv2_huge,32,1,10000,0.1,16,"0.7327267273272673
"
18,mt_resnet101d,32,2,10000,0.1,16,"0.3961603839616038
"
19,mt_resnet101d,32,20,10000,0.1,16,"0.0036996300369962487
"
20,mt_resnet101d,32,1,10000,0.1,16,"0.5453454654534546
"
21,mt_resnet101d,32,5,10000,0.1,16,"0.1483851614838516
"
23,mt_resnet101d,32,10,10000,0.1,16,"0.03169683031696835
"
26,mt_swin224base,32,5,10000,0.1,16,"0.3447655234476552
"
27,mt_swin224base,32,10,10000,0.1,16,"0.07809219078092189
"
29,mt_swin224base,32,1,10000,0.1,16,"0.7311268873112688
"
30,mt_swin224base,32,2,10000,0.1,16,"0.6233376662333767
"
31,mt_swin224base,32,20,10000,0.1,16,"0.0005999400059993887
"
32,mt_wide-resnet,32,20,10000,0.1,16,"0.00019998000199983323
"
34,mt_wide-resnet,32,10,10000,0.1,16,"0.0018998100189980827
"
35,mt_wide-resnet,32,5,10000,0.1,16,"0.024797520247975213
"
36,mt_wide-resnet,32,1,10000,0.1,16,"0.3458654134586542
"
37,mt_wide-resnet,32,2,10000,0.1,16,"0.17048295170482952
"
40,mt_vit224,32,5,10000,0.1,16,"0.045095490450954956
"
41,mt_vit224,32,2,10000,0.1,16,"0.38036196380361964
"
42,mt_vit224,32,1,10000,0.1,16,-1
44,mt_vit224,32,20,10000,0.1,16,"9.999000099991662e-05
"
47,mt_vit224,32,10,10000,0.1,16,"0.00019998000199983323
"
48,mt_deit224_distill,32,1,10000,0.1,16,"0.4402559744025597
"
50,mt_deit224_distill,32,2,10000,0.1,16,"0.19538046195380465
"
51,mt_deit224_distill,32,10,10000,0.1,16,"9.999000099991662e-05
"
54,mt_deit224_distill,32,20,10000,0.1,16,"9.999000099991662e-05
"
55,mt_deit224_distill,32,5,10000,0.1,16,"0.0029997000299970544
"
57,mt_resnet50,32,10,10000,0.1,16,"0.0036996300369962487
"
58,mt_resnet50,32,5,10000,0.1,16,"0.036396360363963653
"
60,mt_resnet50,32,1,10000,0.1,16,"0.3832616738326168
"
61,mt_resnet50,32,2,10000,0.1,16,"0.2077792220777922
"
62,mt_resnet50,32,20,10000,0.1,16,"0.00039996000399955545
"
64,mt_deit3_small_224,32,1,250,0.1,16,"0.2071713147410359
"
66,mt_swin224,32,2,10000,0.1,16,"0.5836416358364164
"
67,mt_swin224,32,10,10000,0.1,16,"0.054194580541945814
"
69,mt_swin224,32,20,10000,0.1,16,"0.0004999500049994721
"
70,mt_swin224,32,1,10000,0.1,16,"0.6911308869113089
"
72,mt_swin224,32,1,100,0.1,16,"0.7227722772277227
"
73,mt_swin224,32,5,10000,0.1,16,"0.3072692730726927
"
